layer,x1_mm,y1_mm,x2_mm,y2_mm,width_mm,length_mm,net
B.Cu,152.624,154.45,189.75,154.45,0.1,37.13,SD_D2
B.Cu,152.287,154.787,152.624,154.45,0.1,0.48,SD_D2
B.Cu,109.5,142.449,106.246,142.449,0.1,3.25,SD_D2
B.Cu,112.591,141.409,112.5,141.5,0.1,0.13,SD_D2
B.Cu,106.246,142.449,106.19,142.505,0.1,0.08,SD_D2
B.Cu,112.591,140.25,111.699,140.25,0.1,0.89,SD_D2
B.Cu,150.729,156.345,152.287,154.787,0.1,2.2,SD_D2
B.Cu,117.75,156.25,117.845,156.345,0.1,0.13,SD_D2
B.Cu,112.591,140.25,112.591,141.409,0.1,1.16,SD_D2
B.Cu,117.845,156.345,118.25,156.345,0.1,0.41,SD_D2
B.Cu,118.25,156.345,150.729,156.345,0.1,32.48,SD_D2
B.Cu,117.75,141.5,117.75,156.25,0.1,14.75,SD_D2
B.Cu,208.305,150.695,208.5,150.695,0.1,0.2,AUDIO_IN_L
B.Cu,161.0,150.148,168.999,150.148,0.1,8.0,AUDIO_IN_L
B.Cu,224.298,98.0,185.75,98.0,0.1,38.55,AUDIO_IN_L
B.Cu,185.75,98.0,185.25,97.5,0.1,0.71,AUDIO_IN_L
B.Cu,169.795,150.944,208.056,150.944,0.1,38.26,AUDIO_IN_L
B.Cu,158.25,150.25,158.551,149.949,0.1,0.43,AUDIO_IN_L
B.Cu,208.056,150.944,208.305,150.695,0.1,0.35,AUDIO_IN_L
B.Cu,158.551,149.949,160.801,149.949,0.1,2.25,AUDIO_IN_L
B.Cu,168.999,150.148,169.795,150.944,0.1,1.13,AUDIO_IN_L
B.Cu,160.801,149.949,161.0,150.148,0.1,0.28,AUDIO_IN_L
B.Cu,152.5,155.0,192.5,155.0,0.1,40.0,SD_D3
B.Cu,107.895,143.605,106.19,143.605,0.1,1.7,SD_D3
B.Cu,108.75,142.75,107.895,143.605,0.1,1.21,SD_D3
B.Cu,112.6,142.75,112.6,143.85,0.1,1.1,SD_D3
B.Cu,116.801,156.301,117.146,156.646,0.1,0.49,SD_D3
B.Cu,117.0,144.0,116.801,144.199,0.1,0.28,SD_D3
B.Cu,117.25,156.646,150.854,156.646,0.1,33.6,SD_D3
B.Cu,116.801,144.199,116.801,156.301,0.1,12.1,SD_D3
